Date,Open,High,Low,Close,Volume
2024-01-01,100.25,102.50,99.75,101.50,1000000
2024-01-02,101.75,103.25,100.50,102.75,1200000
2024-01-03,103.00,104.00,101.50,103.25,900000
2024-01-04,103.75,105.00,102.25,104.75,1100000
2024-01-05,105.00,106.00,104.25,105.50,950000
2024-01-06,105.75,107.25,105.50,106.00,1000000
2024-01-07,106.50,108.00,106.00,107.25,1200000
2024-01-08,107.00,109.50,106.75,108.50,1100000
2024-01-09,108.75,110.25,108.00,109.75,1050000
2024-01-10,110.00,111.50,109.75,110.50,950000
2024-01-11,110.50,112.00,110.00,111.25,1000000
2024-01-12,111.25,113.00,111.00,112.50,1200000
2024-01-13,112.50,114.00,112.25,113.75,1100000
2024-01-14,113.25,115.00,112.75,114.25,1050000
2024-01-15,114.25,116.25,113.50,115.50,1000000
2024-01-16,115.50,117.00,115.00,116.00,1200000
2024-01-17,116.25,118.00,115.75,117.50,1100000
2024-01-18,117.00,119.25,116.50,118.75,1050000
2024-01-19,118.75,120.00,118.25,119.25,1000000
2024-01-20,119.50,121.00,119.00,120.50,1200000
2024-01-21,120.50,122.00,120.00,121.25,1100000
2024-01-22,121.25,123.00,121.00,122.50,1050000
2024-01-23,122.50,124.25,122.00,123.25,1000000
2024-01-24,123.25,125.50,123.00,124.50,1200000
2024-01-25,124.50,126.00,124.00,125.25,1100000
2024-01-26,125.25,127.00,125.00,126.75,1050000
2024-01-27,126.50,128.25,126.25,127.50,1000000
2024-01-28,127.50,129.00,127.00,128.00,1200000
2024-01-29,128.25,130.00,127.75,129.25,1100000
2024-01-30,129.25,131.50,129.00,130.50,1050000
2024-01-31,130.50,132.00,130.00,131.25,1000000
2024-02-01,131.25,133.00,130.75,132.75,1200000
2024-02-02,132.75,134.50,132.25,133.50,1100000
2024-02-03,133.50,135.25,133.00,134.00,1050000
2024-02-04,134.00,136.00,133.75,135.25,1000000
2024-02-05,135.25,137.00,134.50,136.50,1200000
2024-02-06,136.50,138.25,136.00,137.25,1100000
2024-02-07,137.25,139.00,137.00,138.00,1050000
2024-02-08,138.00,140.00,137.75,139.50,1000000
2024-02-09,139.75,141.25,139.25,140.25,1200000
2024-02-10,140.25,142.00,140.00,141.00,1100000
2024-02-11,141.00,143.00,140.75,141.75,1050000
2024-02-12,142.00,144.00,141.25,142.75,1000000
2024-02-13,143.00,145.00,142.50,143.50,1200000
2024-02-14,144.00,146.00,143.75,144.75,1100000
2024-02-15,145.00,147.25,144.50,146.00,1050000
2024-02-16,146.00,148.00,145.75,147.50,1000000
